id ,order_id,buy_timestamp,buy_price,buy_amount,buy_cost,buy_fees,closed,sell_timestamp,sell_price,sell_amount,sell_cost,sell_fees,position
165,O3EID3-LFGTF-GTOTBL,2023-10-11T17:44:14,25250.2,0.00011881,2.999976262,0.0042,True,2023-10-12T15:14:15,25373.7,0.00011881,3.014649297,0.00482,2
171,O64NYQ-4E6RP-E5ANRE,2023-10-11T17:59:15,25243.1,0.00011884,2.999890004,0.0042,True,2023-10-12T15:16:15,25380.6,0.00011884,3.016230504,0.00483,2
159,O64HAX-GMTYU-K4YTBC,2023-10-11T17:34:14,25240.1,0.00011885,2.999785885,0.0042,True,2023-10-12T15:17:16,25380.7,0.00011885,3.016496195,0.00483,2
249,OBLMXJ-ZKHK6-7I5L2P,2023-10-12T17:42:14,25275.0,0.00011869,2.99988975,0.0048,True,2023-10-13T14:53:16,25533.3,0.00011869,3.030547377,0.00485,3
147,OCU25T-F4ZKH-QEDCZ4,2023-10-11T17:25:14,25415.0,0.00011804,2.9999866,0.0042,True,2023-10-13T14:54:15,25548.9,0.00011804,3.015792156,0.00483,2
259,O5K3QS-C6RHY-I5HXCF,2023-10-12T17:59:15,25268.5,0.00011872,2.99987632,0.0048,True,2023-10-13T00:13:16,25396.2,0.00011872,3.015036864,0.00482,3
151,OPSGJL-SYSZI-ZAPRRQ,2023-10-11T17:27:15,25365.8,0.00011801,2.993418058,0.00419,True,2023-10-13T09:32:15,25509.7,0.00011801,3.010399697,0.00482,2
247,OOVHKL-RVIBQ-GBLGQZ,2023-10-12T17:32:14,25272.7,0.0001187,2.99986949,0.0048,True,2023-10-12T23:33:15,25402.6,0.0001187,3.01528862,0.00482,3
269,OWCQMO-2ABBU-DT4NMC,2023-10-12T19:24:15,25214.9,0.00011897,2.999816653,0.0048,True,2023-10-12T21:38:16,25351.1,0.00011897,3.016020367,0.00483,3
273,ONH3T7-K5PN2-AM7BUC,2023-10-12T19:34:15,25207.6,0.00011901,2.999956476,0.0048,True,2023-10-12T21:33:15,25336.8,0.00011901,3.015332568,0.00482,3
82,O7ZNLF-OX5JB-65J7SB,2023-10-11T15:22:14,25536.4,0.00011748,3.000016272,0.0042,False,,,,,,2
85,OOW4TT-6FNFG-W7RUPD,2023-10-11T15:35:14,25540.7,0.00011748,3.000521436,0.0042,False,,,,,,2
88,OTG4XO-UNEHX-PLLOK7,2023-10-11T15:38:14,25538.8,0.00011752,3.001319776,0.0042,False,,,,,,2
91,OQKXYK-MNDSU-SZVXSN,2023-10-11T15:49:14,25530.8,0.0001175,2.999869,0.0042,False,,,,,,2
94,OKAMPQ-AWLKU-IH2KG2,2023-10-11T15:52:13,25528.0,0.00011751,2.99979528,0.0042,False,,,,,,2
97,O7ZP56-OEQSB-5Q74BW,2023-10-11T15:57:14,25531.2,0.0001175,2.999916,0.0042,False,,,,,,2
100,O7WMQB-K6V5T-O6UND5,2023-10-11T16:04:14,25508.6,0.00011761,3.000066446,0.0042,False,,,,,,2
101,OKEIUD-KOOCF-NPDMSP,2023-10-11T16:05:14,25529.7,0.00011755,3.001016235,0.0042,False,,,,,,2
104,OUMNYS-U52E2-IPP3J6,2023-10-11T16:20:13,25511.4,0.00011759,2.999885526,0.0042,False,,,,,,2
108,OFXAXM-Z62IY-CEB346,2023-10-11T16:26:14,25487.4,0.00011769,2.999612106,0.0042,False,,,,,,2
111,OMITTO-5G74J-UJL7I5,2023-10-11T16:28:13,25475.6,0.00011775,2.9997519,0.0042,False,,,,,,2
